,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOGGr5_CACR_AIG,0.27,0.4,0.31,0.29,0.23,0.0,0.08,0.22,0.22
EOGMathGr4_CACR_Black,0.27,0.41,0.33,0.31,0.34,0.0,0.0,0.1,0.22
EVAAS Growth Status_Met,0.27,0.45,0.34,0.33,0.38,0.0,0.0,0.01,0.22
SPG Grade_C,0.27,0.3,0.29,0.26,0.56,0.0,0.0,0.05,0.22
EOGMathGr3-8_CACR_AmericanIndian,0.27,0.48,0.33,0.31,0.35,0.0,0.0,0.02,0.22
crime_per_c_num,0.27,0.41,0.33,0.31,0.1,0.04,0.0,0.27,0.22
EOGMathGr5_CACR_EDS,0.27,0.4,0.33,0.35,0.23,0.01,0.07,0.13,0.22
lea_tchyrs_4thru10_pct,0.27,0.41,0.33,0.31,0.29,0.04,0.07,0.08,0.22
Math SPG Grade_F,0.27,0.4,0.31,0.3,0.22,0.0,0.08,0.14,0.22
EOGSubjects_CACR_AIG,0.27,0.0,0.26,0.11,0.79,0.01,0.05,0.3,0.22
EOGScienceGr5_CACR_SWD,0.27,0.45,0.33,0.31,0.26,0.0,0.03,0.08,0.22
Not Demostrated_TCHR_Standard 4_Pct,0.27,0.41,0.33,0.31,0.45,0.0,0.0,0.02,0.22
EOGScienceGr5_CACR_LEP,0.27,0.37,0.33,0.3,0.48,0.0,0.0,0.02,0.22
EOGGr3_CACR_Hispanic,0.27,0.45,0.33,0.31,0.27,0.01,0.04,0.11,0.22
stud_internet_comp_num,0.27,0.45,0.33,0.31,0.2,0.04,0.01,0.06,0.21
TotalTargets_pTarget_PctMet,0.27,0.26,0.17,0.09,0.77,0.0,0.01,0.11,0.21
SRC_devices_sent_home_Yes,0.27,0.38,0.29,0.27,0.41,0.0,0.01,0.03,0.21
SBE District_Northwest,0.27,0.41,0.33,0.34,0.18,0.0,0.05,0.08,0.21
books_per_student,0.27,0.44,0.33,0.31,0.29,0.04,0.0,0.03,0.21
(TCE) prepared returns Ct 100KLT200K,0.27,0.34,0.33,0.3,0.42,0.0,0.0,0.01,0.21
wap_per_classroom,0.27,0.44,0.33,0.31,0.19,0.06,0.02,0.04,0.21
EOGGr5_CACR_Hispanic,0.27,0.38,0.31,0.27,0.33,0.01,0.05,0.08,0.21
EOGSubjects_CACR_AmericanIndian,0.27,0.4,0.33,0.31,0.35,0.0,0.0,0.04,0.21
EOGMathGr5_CACR_SWD,0.27,0.4,0.33,0.31,0.26,0.0,0.03,0.07,0.21
EOGReadingGr5_CACR_AmericanIndian,0.27,0.44,0.33,0.31,0.31,0.0,0.0,0.01,0.21
EOGReadingGr5_CACR_Black,0.27,0.41,0.33,0.31,0.23,0.01,0.0,0.1,0.21
EOGGr3_CACR_AmericanIndian,0.27,0.38,0.33,0.31,0.34,0.0,0.0,0.02,0.21
EOGGr3_CACR_Asian,0.27,0.38,0.31,0.28,0.34,0.0,0.02,0.09,0.21
EOCMathI_CACR_White,0.27,0.44,0.33,0.31,0.32,0.0,0.0,0.04,0.21
EOGScienceGr5&8_CACR_AmericanIndian,0.27,0.38,0.33,0.3,0.35,0.0,0.0,0.02,0.21
EOGScienceGr5&8_CACR_Asian,0.27,0.46,0.33,0.31,0.24,0.0,0.01,0.03,0.21
EOGMathGr4_CACR_SWD,0.27,0.39,0.33,0.3,0.25,0.0,0.06,0.11,0.21
EOCMathI_CACR_TwoorMoreRaces,0.27,0.39,0.33,0.28,0.3,0.0,0.0,0.14,0.21
EOGGr3_CACR_Black,0.27,0.45,0.33,0.31,0.21,0.01,0.01,0.09,0.21
EOGMathGr4_CACR_Asian,0.27,0.46,0.33,0.33,0.25,0.0,0.01,0.03,0.21
EOGReadingGr3-8_GLP_SWD,0.27,0.44,0.33,0.31,0.06,0.01,0.09,0.16,0.21
EOGMathGr3_GLP_SWD,0.27,0.39,0.27,0.25,0.3,0.0,0.06,0.13,0.21
EOCMathI_CACR_Female,0.27,0.22,0.19,0.16,0.78,0.0,0.0,0.07,0.21
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.27,0.42,0.33,0.31,0.15,0.02,0.04,0.13,0.21
EOGSubjects_CACR_Black,0.27,0.37,0.33,0.31,0.2,0.01,0.01,0.17,0.21
EOGGr4_CACR_EDS,0.27,0.43,0.33,0.31,0.02,0.01,0.1,0.24,0.21
EOGGr4_CACR_TwoorMoreRaces,0.27,0.39,0.3,0.27,0.38,0.0,0.01,0.03,0.21
Avg Tot Income,0.27,0.35,0.33,0.31,0.26,0.01,0.03,0.1,0.21
Number of refund anticipation loan returns 50KLT75K,0.27,0.47,0.34,0.38,0.17,0.0,0.0,0.05,0.21
00_Size,0.27,0.41,0.3,0.29,0.16,0.01,0.06,0.15,0.21
EOGMathGr5_CACR_AmericanIndian,0.27,0.4,0.33,0.31,0.31,0.0,0.0,0.02,0.2
EOGReadingGr3-8_CACR_LEP,0.27,0.44,0.33,0.31,0.2,0.01,0.02,0.04,0.2
EOGReadingGr3-8_CACR_Hispanic,0.27,0.44,0.33,0.31,0.14,0.01,0.03,0.1,0.2
EOGMathGr5_CACR_Asian,0.27,0.39,0.33,0.31,0.25,0.0,0.01,0.06,0.2
Pct of Elderly Returns,0.27,0.24,0.22,0.12,0.71,0.01,0.01,0.06,0.2
EOGMathGr3-8_CACR_Hispanic,0.27,0.41,0.33,0.31,0.13,0.01,0.05,0.13,0.2
lea_avg_student_num,0.27,0.41,0.33,0.31,0.19,0.02,0.0,0.07,0.2
EOGMathGr3_CACR_AmericanIndian,0.27,0.44,0.33,0.31,0.23,0.0,0.0,0.02,0.2
EOGGr4_CACR_Hispanic,0.27,0.43,0.33,0.31,0.12,0.0,0.04,0.08,0.2
EOGGr4_CACR_Asian,0.27,0.45,0.33,0.31,0.18,0.0,0.02,0.05,0.2
EOGMathGr3_CACR_Hispanic,0.27,0.4,0.33,0.3,0.21,0.0,0.01,0.07,0.2
EOGMathGr3_CACR_AIG,0.27,0.42,0.33,0.31,0.15,0.0,0.04,0.12,0.2
Reading SPG Grade_F,0.27,0.41,0.33,0.31,0.12,0.0,0.06,0.13,0.2
EOG/EOCSubjects_CACR_Hispanic,0.27,0.43,0.33,0.31,0.08,0.02,0.09,0.11,0.2
EOCMathI_CACR_SWD,0.27,0.45,0.33,0.31,0.15,0.0,0.0,0.11,0.2
wap_num,0.27,0.42,0.33,0.31,0.02,0.04,0.01,0.19,0.2
Meets Expected Growth_TCHR_Student Growth_Pct,0.27,0.44,0.33,0.31,0.14,0.04,0.02,0.07,0.2
Investment interest paid Amt LT25K,0.27,0.27,0.12,0.09,0.81,0.0,0.01,0.05,0.2
Exceeds Expected Growth_TCHR_Student Growth_Pct,0.27,0.43,0.3,0.29,0.05,0.04,0.07,0.13,0.2
Byod_Yes,0.27,0.44,0.33,0.32,0.17,0.0,0.01,0.03,0.2
EVAAS Growth Status_NotMet,0.27,0.39,0.33,0.3,0.22,0.0,0.02,0.06,0.2
EOGSubjects_CACR_TwoorMoreRaces,0.27,0.42,0.33,0.31,0.04,0.01,0.04,0.15,0.2
SPG Grade_F,0.27,0.44,0.33,0.35,0.04,0.01,0.07,0.13,0.2
pct_GCE_ALL,0.27,0.37,0.22,0.17,0.41,0.01,0.02,0.11,0.2
EOCMathI_CACR_Black,0.27,0.43,0.33,0.31,0.07,0.0,0.02,0.17,0.2
State Gap Compared_Y,0.27,0.41,0.33,0.31,0.2,0.0,0.02,0.06,0.2
_1_to_1_access_Yes,0.27,0.45,0.33,0.32,0.17,0.0,0.01,0.03,0.2
EOCMathI_GLP_LEP,0.27,0.4,0.33,0.31,0.22,0.0,0.0,0.1,0.2
EOGReadingGr5_CACR_Hispanic,0.27,0.4,0.33,0.31,0.18,0.01,0.01,0.06,0.2
EOGGr5_CACR_LEP,0.27,0.4,0.33,0.29,0.24,0.0,0.01,0.04,0.2
calendar_type_txt_Hospital School,0.27,0.45,0.33,0.31,0.22,0.0,0.0,0.01,0.2
EOCSubjects_CACR_Asian,0.27,0.41,0.33,0.31,0.24,0.0,0.0,0.08,0.2
EOCMathI_CACR_LEP,0.27,0.44,0.33,0.31,0.11,0.0,0.0,0.08,0.19
EOGGr3_CACR_LEP,0.27,0.41,0.33,0.31,0.1,0.0,0.02,0.07,0.19
Crime_Rate_Index_Rate,0.27,0.09,0.18,0.13,0.74,0.01,0.01,0.06,0.19
EOGGr3_CACR_AIG,0.27,0.43,0.33,0.32,0.01,0.0,0.05,0.1,0.19
02_Size,0.27,0.41,0.29,0.29,0.08,0.01,0.06,0.14,0.19
EOCSubjects_CACR_Black,0.27,0.41,0.33,0.31,0.03,0.0,0.01,0.14,0.19
EOCSubjects_CACR_AmericanIndian,0.27,0.44,0.33,0.31,0.11,0.0,0.0,0.04,0.19
EOGMathGr3_CACR_SWD,0.27,0.42,0.33,0.31,0.04,0.0,0.05,0.13,0.19
EOGGr5_CACR_TwoorMoreRaces,0.27,0.41,0.33,0.31,0.16,0.0,0.02,0.06,0.19
EOGMathGr4_CACR_LEP,0.27,0.44,0.33,0.31,0.16,0.0,0.0,0.04,0.19
NC Math 1 Score,0.27,0.42,0.33,0.31,0.09,0.0,0.0,0.09,0.19
SPG Grade_A+NG,0.27,0.43,0.33,0.31,0.11,0.0,0.01,0.04,0.19
SPG Grade_I,0.27,0.3,0.19,0.16,0.6,0.0,0.0,0.01,0.19
EOGScienceGr5_GLP_LEP,0.27,0.44,0.33,0.31,0.13,0.0,0.0,0.02,0.19
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.27,0.42,0.33,0.31,0.09,0.0,0.0,0.07,0.19
EOGScienceGr5&8_CACR_LEP,0.27,0.43,0.33,0.31,0.09,0.0,0.0,0.06,0.19
EOGReadingGr4_CACR_Black,0.27,0.41,0.33,0.3,0.12,0.01,0.0,0.09,0.19
EOGReadingGr3_CACR_SWD,0.27,0.43,0.33,0.3,0.07,0.0,0.05,0.1,0.19
expelled_per_c_num,0.27,0.41,0.33,0.31,0.19,0.0,0.0,0.01,0.19
EOGReadingGr4_GLP_LEP,0.27,0.41,0.33,0.31,0.15,0.0,0.0,0.02,0.19
EOGMathGr3_CACR_Asian,0.27,0.41,0.33,0.31,0.13,0.0,0.01,0.05,0.19
EOGMathGr3-8_CACR_Asian,0.27,0.42,0.33,0.31,0.13,0.0,0.02,0.06,0.19
EOGMathGr3_CACR_TwoorMoreRaces,0.27,0.43,0.33,0.31,0.08,0.0,0.0,0.02,0.18
EOGGr5_CACR_Asian,0.27,0.43,0.33,0.31,0.01,0.0,0.02,0.06,0.18
Home mortgage interest paid from personal seller Amt LT25K,0.27,0.22,0.33,0.16,0.4,0.0,0.01,0.09,0.18
EOGGr5_CACR_AmericanIndian,0.27,0.43,0.33,0.31,0.04,0.0,0.0,0.02,0.18
EOCMathI_CACR_AmericanIndian,0.27,0.41,0.33,0.31,0.11,0.0,0.0,0.02,0.18
EOCMathI_CACR_Asian,0.27,0.42,0.33,0.31,0.06,0.0,0.0,0.07,0.18
lea_expelled_per_c_num,0.27,0.37,0.16,0.11,0.47,0.0,0.01,0.03,0.18
EOCMathI_CACR_EDS,0.27,0.43,0.31,0.31,0.01,0.01,0.0,0.1,0.18
EOGMathGr4_CACR_TwoorMoreRaces,0.27,0.43,0.33,0.31,0.07,0.0,0.0,0.01,0.18
lea_emer_prov_teach_pct,0.27,0.41,0.33,0.31,0.05,0.02,0.0,0.03,0.18
EOGScienceGr5&8_GLP_LEP,0.27,0.41,0.33,0.31,0.1,0.0,0.0,0.06,0.18
EOGReadingGr5_GLP_LEP,0.27,0.42,0.33,0.31,0.09,0.0,0.0,0.01,0.18
EOCMathI_GLP_SWD,0.27,0.41,0.33,0.31,0.0,0.0,0.0,0.13,0.18
EOGGr5_CACR_Black,0.27,0.43,0.33,0.31,0.03,0.0,0.01,0.1,0.18
EOGGr3_CACR_TwoorMoreRaces,0.27,0.42,0.33,0.31,0.05,0.0,0.01,0.03,0.18
EOGReadingGr3_CACR_Hispanic,0.27,0.42,0.33,0.31,0.06,0.0,0.02,0.07,0.18
EOGReadingGr3-8_CACR_AmericanIndian,0.27,0.41,0.33,0.31,0.1,0.0,0.0,0.01,0.18
EOGReadingGr5_CACR_LEP,0.27,0.43,0.33,0.31,0.0,0.0,0.0,0.02,0.17
EOGScienceGr5_CACR_AmericanIndian,0.27,0.4,0.33,0.31,0.06,0.0,0.0,0.01,0.17
EOGGr4_CACR_AmericanIndian,0.27,0.42,0.33,0.31,0.02,0.0,0.0,0.02,0.17
EOGReadingGr3_CACR_AmericanIndian,0.27,0.43,0.33,0.31,0.03,0.0,0.0,0.01,0.17
"calendar_type_txt_Vocational Education, Traditional Calendar",0.27,0.42,0.33,0.31,0.03,0.0,0.0,0.02,0.17
Not Demostrated_TCHR_Standard 2_Pct,0.27,0.42,0.33,0.31,0.02,0.0,0.0,0.03,0.17
EOGReadingGr4_CACR_LEP,0.27,0.42,0.33,0.31,0.01,0.0,0.0,0.01,0.17
Avg Dependents Per Ret,0.27,0.08,0.17,0.0,0.52,0.02,0.04,0.07,0.15
Pct of Anticipation Loans,0.27,0.35,0.0,0.0,0.38,0.03,0.01,0.04,0.14
Domestic production activities deduction Amt 75KLT100K,0.27,0.17,0.13,0.09,0.05,0.01,0.01,0.08,0.1
Year,0.32,0.43,0.33,0.31,0.93,0.0,,0.0,
